feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,0.34194862948427973,1.1215749859130608,1.4076879819990673,0.1562500064842639,12.682146383553423
Addicted_Score,2.5427879308822314,1.4629739048401167,12.715070339678167,0.7228249278775626,223.66828744781313
Sleep_Hours_Per_Night,-0.31464764271944734,0.928821927457703,0.7300460660012005,0.11823215541396703,4.507802945973094
Mental_Health_Score,-1.4901947470191153,1.5102019156506372,0.2253287691600918,0.011676977496233377,4.348133258591936
Age,-0.22995193755216578,0.8540800045508744,0.7945717906508575,0.14898375789601911,4.237672209468276
Conflicts_Over_Social_Media,3.9201338405511224,1.0248649755563177,50.40719085281051,6.762789138705367,375.7155276555137
Gender=Male,-0.1986911412632269,1.2194680478336644,0.8198030575716839,0.07510977301564259,8.94793082471322
Academic_Level=High School,-0.0020403537961012374,21.265263924906474,0.9979617263107469,7.908396147159839e-19,1.259329437535561e+18
Academic_Level=Undergraduate,-0.42810940859053637,1.8407238628379279,0.6517401049315704,0.017670443653578578,24.038172029155145
Relationship_Status=In Relationship,-0.24343660775885073,2.425718077366075,0.7839291694841225,0.006753079364054369,91.00217984097706
Relationship_Status=Single,0.44209935130168676,2.3652464213352546,1.5559703204318394,0.015090370571562046,160.43632769544064
Most_Used_Platform=Instagram,0.5030432802925251,1.0621450056927075,1.6537464342633343,0.20623836299031237,13.260759197197265
Most_Used_Platform=LinkedIn,-0.014112469572691994,8.904695480573919,0.9859866445299658,2.5952577547924377e-08,37459464.725468665
Most_Used_Platform=Other,-0.1342889278292251,1.3388657128417298,0.8743374076960698,0.06339200655038665,12.059342243553271
Most_Used_Platform=TikTok,0.6033639495693853,1.3784322081998253,1.8282586374055476,0.12266312114205433,27.249670594775225
Most_Used_Platform=Twitter,-0.11588714389778892,2.334606944280914,0.8905757245312715,0.00917169954158371,86.47526203060157
Most_Used_Platform=WhatsApp,0.062492204617541694,4.332323408244432,1.064486160808771,0.00021850412936285727,5185.855250688057
