feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,0.5326956196570136,0.9623997425586056,1.7035181620270208,0.2583155925930337,11.234219735731816
Sleep_Hours_Per_Night,-0.7573900007956582,0.8478684938332366,0.4688886302932873,0.08899441070094716,2.470453435071458
Mental_Health_Score,-2.4145657788213266,1.1051776112211729,0.0894061525392322,0.010247985868559543,0.7800030380986482
Age,-0.35039056718170514,0.7020211034998948,0.7044129154180544,0.17793683585224604,2.7886162695384336
Conflicts_Over_Social_Media,4.740209376035653,0.7850869619347,114.45816396812653,24.568550888867,533.2293043335732
Gender=Male,-0.07205235095613846,0.9598904009355101,0.9304821829041884,0.14179074061891864,6.106161015330951
Academic_Level=High School,-0.004440100168051294,14.664295329519078,0.9955697425038283,3.279448946737107e-13,3022334325940.021
Academic_Level=Undergraduate,-0.5919171229226117,1.5203093248406732,0.5532655892158973,0.02810891073310828,10.889885243751857
Relationship_Status=In Relationship,-0.24047273731011737,2.666556934579515,0.7862560806116193,0.004224610161863521,146.3327030454453
Relationship_Status=Single,0.3570167756043615,2.664739496939034,1.4290598429953294,0.00770584099758259,265.02130468335673
Most_Used_Platform=Instagram,0.46329912186888556,0.9049746643710841,1.5893086683014508,0.26970712600418817,9.365351522447009
Most_Used_Platform=LinkedIn,-0.02759091433927886,6.672946117869198,0.9727862383149741,2.0323354135646042e-06,465628.3894572394
Most_Used_Platform=Other,-0.06514498140631651,1.1239125551892457,0.9369316158666691,0.10352179472936707,8.479768488417657
Most_Used_Platform=TikTok,0.7850620992042553,1.0712602005628842,2.1925430916870283,0.26858997682009583,17.898081178675003
Most_Used_Platform=Twitter,-0.23128950819628014,1.7340660834635933,0.7935097052145397,0.026516275131592975,23.746082326603123
Most_Used_Platform=WhatsApp,0.06877948406748982,4.057638173828916,1.0711999664421583,0.0003767061192904021,3046.059804569033
