,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Age,Age,Age,Age,Age,Age,Age,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media
,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75
Academic_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate,5.001,1.297,2.2,8.5,4.7,4.1,5.9,6.829,1.196,3.8,9.6,6.8,5.9,7.7,6.178,1.12,4,8,6.0,5.0,7.0,6.493,1.634,3,9,7.0,5.0,8.0,19.677,0.66,19,21,20.0,19.0,20.0,2.918,0.921,1,5,3.0,2.0,4.0
Graduate,4.777,1.228,1.5,7.5,4.7,4.0,5.6,7.03,0.999,4.1,9.5,7.1,6.4,7.8,6.372,1.066,4,9,6.0,6.0,7.0,6.243,1.488,2,9,7.0,5.0,7.0,21.902,0.883,21,24,22.0,21.0,22.0,2.702,0.962,0,5,3.0,2.0,3.0
High School,5.544,0.69,3.0,6.5,5.6,5.45,5.85,5.456,0.404,5.1,7.0,5.4,5.2,5.5,5.111,0.577,4,7,5.0,5.0,5.0,8.037,1.126,4,9,8.0,8.0,9.0,18.556,0.641,18,20,18.0,18.0,19.0,3.741,0.813,1,4,4.0,4.0,4.0
