,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Age,Age,Age,Age,Age,Age,Age,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media
,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.386,0.88,3.0,6.5,5.6,5.4,5.775,5.536,0.536,5.2,7.0,5.35,5.225,5.5,5.214,0.802,4,7,5.0,5.0,5.0,7.786,1.477,4,9,8.0,8.0,8.75,18.0,0.0,18,18,18.0,18.0,18.0,3.571,1.089,1,4,4.0,4.0,4.0
19,5.12,1.382,2.3,8.5,4.9,4.1,6.2,6.743,1.318,3.8,9.5,6.7,5.7,7.9,6.055,1.263,4,8,6.0,5.0,7.0,6.65,1.871,3,9,7.0,5.0,8.0,19.0,0.0,19,19,19.0,19.0,19.0,3.006,0.997,1,5,3.0,2.0,4.0
20,4.93,1.205,2.2,8.4,4.7,4.2,5.7,6.865,1.192,3.9,9.6,7.0,5.9,7.6,6.218,0.988,4,8,6.0,5.0,7.0,6.479,1.442,4,9,7.0,5.0,8.0,20.0,0.0,20,20,20.0,20.0,20.0,2.933,0.805,2,5,3.0,2.0,4.0
21,4.951,1.068,2.4,7.5,4.8,4.2,5.625,6.869,0.998,4.3,9.4,6.8,6.3,7.6,6.16,0.954,4,8,6.0,5.0,7.0,6.59,1.244,4,9,7.0,6.0,7.0,21.0,0.0,21,21,21.0,21.0,21.0,2.872,0.785,1,5,3.0,2.0,3.0
22,4.676,1.2,2.1,7.4,4.5,3.9,5.6,7.128,1.067,4.1,9.5,7.3,6.45,7.9,6.476,1.036,4,8,6.0,6.0,7.0,6.095,1.477,3,9,7.0,5.0,7.0,22.0,0.0,22,22,22.0,22.0,22.0,2.633,0.973,0,5,3.0,2.0,3.0
23,4.509,1.651,1.5,6.8,4.65,2.625,6.175,6.938,0.561,5.9,8.0,7.1,6.4,7.3,6.647,1.346,4,9,7.0,5.0,8.0,5.676,1.886,2,9,5.0,4.0,8.0,23.0,0.0,23,23,23.0,23.0,23.0,2.382,1.326,0,5,2.0,1.0,4.0
24,5.046,1.468,2.0,7.0,5.45,4.525,6.05,6.85,0.545,5.8,7.8,6.85,6.425,7.3,6.346,1.263,4,8,6.0,5.25,7.0,6.115,1.84,3,9,7.0,5.0,7.75,24.0,0.0,24,24,24.0,24.0,24.0,2.654,1.325,0,5,3.0,2.0,3.75
