feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Addicted_Score,2.55292125159569,1.428849086394109,12.844571254335298,0.7806944014456286,211.3285434123699
Sleep_Hours_Per_Night,-0.3936982426719784,0.8092348036429658,0.6745575782241765,0.1381010917840207,3.2948901450489188
Mental_Health_Score,-1.5190594119943317,1.5024354986778272,0.21891770150795659,0.011518752972399902,4.160603161501928
Age,-0.21621299200520078,0.825107038079555,0.8055637049709055,0.15987019567679342,4.059123590981195
Conflicts_Over_Social_Media,3.911626327265929,1.006167954822453,49.98017002520815,6.955782815670886,359.12814731950215
Gender=Male,-0.21893959837596189,1.1918719724508535,0.8033702415554594,0.07769489396046711,8.306900390973865
Academic_Level=Undergraduate,-0.4653825563340895,1.7767495980815984,0.6278948540842076,0.019298116507470556,20.429555787623542
Relationship_Status=In Relationship,-0.20506641302576792,2.2823803417365105,0.8145932150147366,0.00929341046745001,71.40135564571891
Relationship_Status=Single,0.4463813192519401,2.2321265757485746,1.562647220409447,0.019673034694114168,124.1225044036513
Most_Used_Platform=Instagram,0.48316933711227017,1.0697477646719136,1.6212044118428224,0.1991896776526863,13.194979659344746
Most_Used_Platform=LinkedIn,-0.020900009110275352,7.3895726161204545,0.9793168824403281,5.022357540824811e-07,1909584.3902724953
Most_Used_Platform=Other,-0.1611238303911302,1.3232937386466064,0.8511866618035923,0.06362607559007352,11.387135329549972
Most_Used_Platform=TikTok,0.5892906154141362,1.4022381785950653,1.802709147622964,0.11543522690140766,28.152240508862246
Most_Used_Platform=Twitter,-0.09941897579942627,2.351442604023194,0.9053633032346423,0.009021345464994857,90.86036157516891
Most_Used_Platform=WhatsApp,0.08114268081937327,3.8078557695915607,1.0845256265330236,0.0006222818169620674,1890.1337023616504
