variable,chi2,df,p_value,cramers_v,min_expected
Gender,0.17548499956084876,1,0.6752824218633118,0.016088114649659944,124.63126843657817
Academic_Level,0.9641058567113947,1,0.32615457354136956,0.03770921690246746,119.83775811209439
Relationship_Status,21.666110847701287,2,1.9736212259582868e-05,0.17876217638128647,8.480825958702065
Most_Used_Platform,206.66204654296178,6,7.240084229724301e-42,0.5520971636287985,7.743362831858407
